word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
demoralization,1.36272605444,1.19161356092,1.24684410048,1.27855370219,4.16226546032
jealous,1.05939031794,0.902029350757,1.24221829838,1.13612377474,27.6785838718
resentful,1.1109127788,0.871441732179,1.11641149324,1.18889604858,11.9231492218
umbrage,1.43877625173,1.37826663581,1.3867276525,1.33818937048,6.72265079522
cynical,0.975309253643,0.851412014846,1.0398078901,1.04774751989,24.4660651288
repentant,1.20951307123,1.09268825807,1.2713025226,1.36693610724,7.20167299783
worry,1.23126551323,1.15663818157,1.31131587608,1.24759318902,27.713883552
hopelessness,1.10663385602,0.91512996915,1.13079477196,1.15074333247,8.17903046256
mousy,1.34678623611,1.33029378749,1.39853289539,1.35524548525,1.99440300722
disagreeable,1.08644143215,0.967973969304,1.15606687934,1.10468518175,8.40786832904
penitential,1.36806273203,1.43643979021,1.48060801306,1.51263701015,9.88036855481
grief,1.15493326332,0.983602812753,1.2748815472,1.16619572717,32.3606831942
livid,1.31047652473,1.11881180169,1.43967217734,1.20093944029,4.80017074922
acrophobic,1.51275207562,1.47776044606,1.49348520391,1.52172193927,1.06114993718
maddening,1.24851241175,1.17958285347,1.30197558656,1.15699458804,4.58507833557
repel,1.51868282757,1.41778757638,1.53210586773,1.45112585135,23.8732942668
lost,1.53149965194,1.38144413741,1.55590697513,1.42660635813,34.6489538125
sadness,1.03448517935,1.02220102572,1.18695133095,1.06408924644,24.1548043225
aggression,1.36162234514,1.22394696061,1.25312445821,1.47006607803,33.8459847674
odious,1.14595226432,1.03497025094,1.27834004224,1.22620868352,7.34899572714
opposing,1.4442772098,1.31964892117,1.32000760098,1.50574897142,28.8590549851
disgraced,1.43245568442,1.15290271104,1.38308188769,1.45287708926,13.3701140171
aghast,1.26132729699,1.10050575272,1.36630003072,1.15695535756,5.3013439631
heartsick,1.37933053095,1.38690913089,1.50513777792,1.38714190347,1.47349056356
grudge,1.40313420603,1.21995792807,1.4723922219,1.39534190308,20.3944646593
antipathy,1.18996590797,1.0962843593,1.05912088371,1.32604670592,17.271152827
diffident,1.02102803364,1.03887739862,1.12732578773,1.16627577602,3.5774568583
despondency,1.10895696279,1.01645385299,1.21817318032,1.14451563978,3.79048418977
ruefully,1.26938724395,1.26308134768,1.42140050835,1.26037891978,3.0266083412
discouragement,1.36295939968,1.25071853858,1.28218670098,1.47720349085,5.67398953642
wary,1.11185743842,0.996475632595,1.16281079548,1.20403505247,20.8389673261
repugnance,1.27502506407,1.25718662205,1.30706008024,1.33127681706,3.76592350474
misery,1.14160186669,0.979618029931,1.27644875925,1.16171860392,22.1191801627
sick,1.30352657105,1.17169328893,1.38690438214,1.35798812152,31.2903344589
jealously,1.40956365591,1.32324110312,1.42837671443,1.45107484321,8.29456349121
hideously,1.37465601201,1.15469580601,1.43013881656,1.21472856385,4.73737754587
confusedly,1.55291151087,1.51532734853,1.56017822338,1.49693987124,1.36747493882
tense,1.36549587041,1.31471145167,1.34835382762,1.43770574372,34.5374864087
dingy,1.35654634543,1.28672060153,1.37950237184,1.38058462442,4.32868408425
uncomfortable,1.05872473903,0.959371506009,1.0678965065,1.11179354744,27.01408033
awkward,1.07267589288,1.03608851106,1.06033686318,1.13569437008,24.4091325475
wrath,1.32430513774,1.1520443408,1.477272945,1.3307795972,30.9800613315
displeasure,1.24678231902,1.07529128666,1.22034688286,1.24799787214,21.7893603255
anguished,1.07357295799,0.965023228553,1.13685732295,1.07309056189,5.97291882472
mortified,1.26122005919,1.12337248859,1.34957844809,1.20253802085,5.01288905379
discouraging,1.3598315787,1.19731175143,1.20310176058,1.474314547,11.3895998584
